x,y,type,color
-2.0347125904679273,1.452564860579829,left_cone,orange
-0.001281249923260841,4.3009384760319715,left_cone,yellow
2.011588852412432,7.123352293579818,left_cone,yellow
3.965492018591419,9.94315790542279,left_cone,yellow
5.817710206447179,12.781150217461743,left_cone,yellow
7.518149879735542,15.655220460194492,left_cone,yellow
9.00697426545184,18.57807722952022,left_cone,yellow
10.214187328218191,21.556034126263505,left_cone,yellow
11.063129294616234,24.585986780065742,left_cone,yellow
13.976345477133819,30.247788883865525,left_cone,yellow
11.477290852759074,27.679043088421977,left_cone,yellow
11.40572870767377,30.888037456746115,left_cone,yellow
10.93978321300472,34.168769907082385,left_cone,yellow
10.207397835701673,37.48900215120854,left_cone,yellow
9.321839856286694,40.846322454340736,left_cone,yellow
8.38087315490191,44.25400797487698,left_cone,yellow
7.485813847659876,47.677042134447575,left_cone,yellow
6.6568613562035495,51.05060987200137,left_cone,yellow
5.811561616996208,54.3438170892761,left_cone,yellow
4.863237180872073,57.51957453807236,left_cone,yellow
3.7250554694682005,60.52676856728892,left_cone,yellow
2.3097281215051684,63.30295668179555,left_cone,yellow
0.4875698367799961,65.82856400713247,left_cone,yellow
-1.758865719089769,68.08975553116923,left_cone,yellow
-4.327028647875039,70.08945788513932,left_cone,yellow
-7.127519345509246,71.85365821950822,left_cone,yellow
-10.09406669550765,73.4174268143047,left_cone,yellow
-13.17924921990058,74.81655837410717,left_cone,yellow
-16.34100146301184,76.0804757129141,left_cone,yellow
-19.559693528650683,77.22567919701693,left_cone,yellow
-22.827957635237098,78.26497859869924,left_cone,yellow
-26.138572489839763,79.21411802312298,left_cone,yellow
-29.484620910416474,80.0910471523468,left_cone,yellow
-32.84951684171217,80.91270777459775,left_cone,yellow
-36.190155927512386,81.6766600526556,left_cone,yellow
-39.5024870359168,82.33343722959884,left_cone,yellow
-42.786605255212116,82.82023949917988,left_cone,yellow
-46.03217481840447,83.0693292594174,left_cone,yellow
-49.21762608851447,83.00863308840482,left_cone,yellow
-52.3445195369172,82.55659694865862,left_cone,yellow
-55.433550316744686,81.66203606172424,left_cone,yellow
-58.45741688818093,80.39324767543741,left_cone,yellow
-61.4055262531082,78.83258135971158,left_cone,yellow
-64.2843331866563,77.05349215297717,left_cone,yellow
-67.1096550817572,75.11807373915521,left_cone,yellow
-69.87616052122839,73.09625156179204,left_cone,yellow
-72.554815064783,71.01510443436433,left_cone,yellow
-75.11037076937595,68.84764576571862,left_cone,yellow
-77.49913362933135,66.56661971084105,left_cone,yellow
-79.66699452149665,64.14892063899241,left_cone,yellow
-81.55884328994625,61.56061299313951,left_cone,yellow
-83.14720143937811,58.736772827076834,left_cone,yellow
-84.45356691283266,55.70365426181049,left_cone,yellow
-85.53212460403977,52.51746735954526,left_cone,yellow
-86.44765191447593,49.22206683037842,left_cone,yellow
-87.26656753953597,45.85268398991671,left_cone,yellow
-88.04102141354863,42.46877219258741,left_cone,yellow
-88.77138952106807,39.095211813813556,left_cone,yellow
-89.4315430475169,35.72830598276408,left_cone,yellow
-89.99421505731168,32.3663496598801,left_cone,yellow
-90.43035281596197,29.010463698383365,left_cone,yellow
-90.70850594978641,25.665283175178697,left_cone,yellow
-90.79473493106407,22.33982438221912,left_cone,yellow
-90.65328507592659,19.048373516106533,left_cone,yellow
-90.24846396480397,15.811838521434407,left_cone,yellow
-89.54583274514614,12.654648527239534,left_cone,yellow
-88.51217592103451,9.589662967728781,left_cone,yellow
-87.14552873410943,6.62735018081128,left_cone,yellow
-85.48971038347531,3.7881895268170873,left_cone,yellow
-83.58579764595491,1.086249353504133,left_cone,yellow
-81.46829859705191,-1.4682789655110944,left_cone,yellow
-79.15231092800055,-3.877875451059623,left_cone,yellow
-76.64212890622515,-6.174271536465046,left_cone,yellow
-73.99136339944275,-8.411535515440058,left_cone,yellow
-71.26199806133171,-10.655424291399743,left_cone,yellow
-68.51724003196244,-12.973877084714331,left_cone,yellow
-65.8442004536474,-15.406843242607339,left_cone,yellow
-63.33954884816428,-17.900855497129392,left_cone,yellow
-60.93924282221348,-20.357188682748124,left_cone,yellow
-58.56443753695625,-22.669600314719936,left_cone,yellow
-56.16214748518841,-24.706625229269477,left_cone,yellow
-53.70494772717907,-26.306375533704774,left_cone,yellow
-51.037000290604816,-27.30087073850352,left_cone,yellow
-48.00771049112094,-27.54461181747965,left_cone,yellow
-44.80030950833942,-27.184701916169338,left_cone,yellow
-41.52403458572194,-26.43968527867306,left_cone,yellow
-38.20186609169798,-25.481517353511748,left_cone,yellow
-34.81988689813967,-24.44216934521766,left_cone,yellow
-31.41811159716819,-23.4516685669215,left_cone,yellow
-28.069365522633653,-22.53725551985293,left_cone,yellow
