x,y,type,color
1.2397378900439808,2.170956002315408,left_cone,orange
4.137397349768654,0.5033390583446811,left_cone,yellow
7.28994213195892,-0.923578312112328,left_cone,yellow
10.61962252103609,-2.2384709678454584,left_cone,yellow
14.067830093476173,-3.601368215871217,left_cone,yellow
17.575084033134132,-5.210611565830533,left_cone,yellow
20.980580205499543,-7.280172088768389,left_cone,yellow
23.994820900585633,-9.86573559883529,left_cone,yellow
26.534272356919693,-12.846803350571651,left_cone,yellow
28.620666722090913,-16.088189461629604,left_cone,yellow
30.31767445450655,-19.48932696353419,left_cone,yellow
31.694015802043374,-22.98367971215719,left_cone,yellow
32.813297201211405,-26.530142796977735,left_cone,yellow
33.72921273120892,-30.104660682184523,left_cone,yellow
34.48440580907315,-33.69185617488765,left_cone,yellow
35.11480577147448,-37.282550027405726,left_cone,yellow
35.65032635283746,-40.87045998882425,left_cone,yellow
31.13472354712728,-44.74519299070056,left_cone,yellow
36.11865022669468,-44.46215898120124,left_cone,yellow
36.53208558572446,-48.10249797718171,left_cone,yellow
36.82749333441388,-51.81795499333711,left_cone,yellow
36.90094649587836,-55.62581054376103,left_cone,yellow
36.60748204616356,-59.52915633303045,left_cone,yellow
35.75030441289143,-63.47226744063363,left_cone,yellow
34.160483240717504,-67.23011511694814,left_cone,yellow
31.922071161303847,-70.50960777032326,left_cone,yellow
29.288355618005884,-73.3184639097438,left_cone,yellow
26.441617331013475,-75.76967834247301,left_cone,yellow
23.490854300729616,-77.97286920702363,left_cone,yellow
20.50612247786948,-80.02005629605218,left_cone,yellow
17.52267205712083,-82.00062390880304,left_cone,yellow
14.547434173353853,-83.97638907544759,left_cone,yellow
11.586531294803972,-85.9595104855896,left_cone,yellow
8.64598387831861,-87.95928005604831,left_cone,yellow
5.73121232585451,-89.9848446218282,left_cone,yellow
2.8262292358506187,-92.05929772969576,left_cone,yellow
-0.13101930440802567,-94.19113740927004,left_cone,yellow
-3.219015954128399,-96.29414153550576,left_cone,yellow
-6.529592845458031,-98.24943491424146,left_cone,yellow
-10.154587068519456,-99.88213567314715,left_cone,yellow
-14.072057385204122,-100.92594348576529,left_cone,yellow
-17.983373724689987,-101.21335837496741,left_cone,yellow
-21.730964809565613,-100.98581409344358,left_cone,yellow
-25.315229179491286,-100.52087039585052,left_cone,yellow
-28.76934488329513,-100.02467900479304,left_cone,yellow
-32.1362308882214,-99.6606642112764,left_cone,yellow
-35.56253463101692,-99.56123102803801,left_cone,yellow
-39.098867530064574,-99.67914334246484,left_cone,yellow
-42.746869805225735,-99.86281301336533,left_cone,yellow
-46.52609513842643,-99.93837063989263,left_cone,yellow
-50.44054404028434,-99.68905279622815,left_cone,yellow
-54.3909817957414,-98.86531186836729,left_cone,yellow
-58.102244124174284,-97.34491767752345,left_cone,yellow
-61.453929671984504,-95.23724857073347,left_cone,yellow
-64.42351273307219,-92.66664513660875,left_cone,yellow
-66.9980088560264,-89.71647516262618,left_cone,yellow
-69.15466985115746,-86.43968655122579,left_cone,yellow
-70.83945374721034,-82.89815170081158,left_cone,yellow
-72.00652297518009,-79.23821218159553,left_cone,yellow
-72.7704752170655,-75.57770865113608,left_cone,yellow
-73.28999930383694,-71.97600274620265,left_cone,yellow
-73.7144518507759,-68.46164767739404,left_cone,yellow
-74.1797198346265,-65.05443824382421,left_cone,yellow
-74.82984073254373,-61.711418020693785,left_cone,yellow
