x,y,type,color
-2.088618514837054,1.3739260167417524,left_cone,orange
-1.0647289677442062,2.9081246659228808,left_cone,yellow
0.07026331213100412,4.30131981201065,left_cone,yellow
1.2636445753439554,5.597910664078633,left_cone,yellow
2.4700588271477772,6.835880614192477,left_cone,yellow
3.647676050596349,8.046102525741443,left_cone,yellow
4.757626200120335,9.253566793043612,left_cone,yellow
5.765654591525316,10.479870939813587,left_cone,yellow
9.975757488257456,8.349256624073359,left_cone,blue
6.649068948824009,11.756582504746,left_cone,yellow
7.967774214837802,14.54075652440438,left_cone,yellow
8.341912533217862,15.925552348670552,left_cone,yellow
8.506237505675914,17.206242388601247,left_cone,yellow
8.472921361329112,18.324572241499006,left_cone,yellow
8.241174701317876,19.30639058477885,left_cone,yellow
7.717940054700604,20.264841260866216,left_cone,yellow
6.881755612634041,21.19531116846527,left_cone,yellow
5.770525056508393,22.057780113349896,left_cone,yellow
4.447470039925927,22.819307708969582,left_cone,yellow
2.9855735158080687,23.458971110274064,left_cone,yellow
1.4397058511857654,23.970246893285324,left_cone,yellow
-0.19169518270924568,24.3751610479343,left_cone,yellow
-1.9053184965439347,24.736209204920563,left_cone,yellow
-3.691483839153767,25.13486733284698,left_cone,yellow
-5.532807177936714,25.669082927370223,left_cone,yellow
-7.351608253763503,26.42580415748253,left_cone,yellow
-8.970013440690465,27.36291994555724,left_cone,yellow
-10.40909050582338,28.369054432593266,left_cone,yellow
-11.731623850763672,29.350627863676362,left_cone,yellow
-12.982664990673866,30.232721600111248,left_cone,yellow
-14.241967326404888,30.979359773433693,left_cone,yellow
-15.562716627417313,31.567431100058876,left_cone,yellow
-16.8826572201173,31.968014386861224,left_cone,yellow
-18.131692937915563,32.166872350720645,left_cone,yellow
-19.256900216995117,32.16815373803815,left_cone,yellow
-20.342715418269968,31.934059537578992,left_cone,yellow
-21.509374999021073,31.38968815782711,left_cone,yellow
-22.768205769789684,30.566289950758563,left_cone,yellow
-24.129336949663948,29.540669801852516,left_cone,yellow
-25.620349068924426,28.41288779776795,left_cone,yellow
-27.20210769953804,27.339291050168402,left_cone,yellow
-28.8102068138849,26.387946179855884,left_cone,yellow
-30.417657182709938,25.52877407827495,left_cone,yellow
-31.999892564401545,24.731715126876672,left_cone,yellow
-33.53261829291315,23.969788653152676,left_cone,yellow
-34.99160187710546,23.219334552897152,left_cone,yellow
-36.353391170092685,22.460231734154902,left_cone,yellow
-37.5971803862838,21.67572064017419,left_cone,yellow
-38.707840144886994,20.850839945799112,left_cone,yellow
-39.67900544766328,19.968107157576206,left_cone,yellow
-40.517701914432855,18.9927755621757,left_cone,yellow
-41.24032589142453,17.857842340290883,left_cone,yellow
-41.83339212515703,16.572046094785282,left_cone,yellow
-42.280299580401106,15.176009919422835,left_cone,yellow
-42.5691465250689,13.712643898332024,left_cone,yellow
-42.69251016931199,12.225633531533838,left_cone,yellow
-42.64660844277323,10.753320906037596,left_cone,yellow
-42.429451436510085,9.318330966830242,left_cone,yellow
-42.04785906240939,7.943726851859651,left_cone,yellow
-41.51176530639203,6.652433520315347,left_cone,yellow
-40.83187467466748,5.465278866902204,left_cone,yellow
-40.017511826357996,4.399254764917251,left_cone,yellow
-39.017405974821706,3.4257310683010593,left_cone,yellow
-37.75756442368113,2.4801630745567445,left_cone,yellow
-36.29630942779235,1.4991437307956006,left_cone,yellow
-34.718773068896375,0.38769358161534107,left_cone,yellow
-33.134499540215934,-0.9762769563470137,left_cone,yellow
-31.729045240778387,-2.6602530158643467,left_cone,yellow
-30.71386813130303,-4.464328822809879,left_cone,yellow
