x,y,type,color
2.2148816623457956,1.1594391841766971,left_cone,orange
3.198274427406695,-0.8219016649872826,left_cone,yellow
3.7740144549254526,-2.818304621409768,left_cone,yellow
4.130588575743268,-4.69856531958668,left_cone,yellow
4.40296352962328,-6.29070077473933,left_cone,yellow
4.607875885653187,-7.335620873182524,left_cone,yellow
4.480888791089779,-7.675253979394691,left_cone,yellow
4.412508076771402,-7.949248651169942,left_cone,yellow
5.287290985329588,-8.135628566709334,left_cone,yellow
6.849744966601769,-8.066831449353131,left_cone,yellow
8.869385257983835,-7.910235599376904,left_cone,yellow
11.235665788666994,-7.9437410047039,left_cone,yellow
13.716071953813342,-8.487448637324023,left_cone,yellow
15.858407876522321,-9.544779906539388,left_cone,yellow
17.6677430956194,-10.856807758475549,left_cone,yellow
19.20162728294936,-12.194977337233404,left_cone,yellow
20.4389678475999,-13.328436560876444,left_cone,yellow
21.184516923854922,-14.00552750576124,left_cone,yellow
20.88085965079669,-14.309806107408438,left_cone,yellow
20.483356910735367,-14.828096367893679,left_cone,yellow
20.929659509331167,-14.530593426708817,left_cone,yellow
21.629273391673802,-13.418525257740336,left_cone,yellow
22.434486729630905,-11.796827496369788,left_cone,yellow
23.369893677416385,-9.8906681119835,left_cone,yellow
24.52943995398734,-7.876920899486833,left_cone,yellow
26.06650814709798,-5.951712524100904,left_cone,yellow
27.898133923778946,-4.5171251407852715,left_cone,yellow
29.752786635615625,-3.621703628535712,left_cone,yellow
31.499975993368427,-3.0447599745660363,left_cone,yellow
33.0584019438616,-2.6112617089110963,left_cone,yellow
34.35637250221408,-2.211121361171453,left_cone,yellow
35.46380116843361,-1.716014056049044,left_cone,yellow
36.491357277191554,-0.9947662919019944,left_cone,yellow
37.435297705622716,-0.04690648341695214,left_cone,yellow
38.27779994650503,1.1066696494256536,left_cone,yellow
39.00073617371998,2.4346301712938345,left_cone,yellow
39.589294591319614,3.899434480551321,left_cone,yellow
40.032666802951354,5.460371269647169,left_cone,yellow
40.32375511724578,7.075178228354016,left_cone,yellow
40.45888095374525,8.700747800649884,left_cone,yellow
40.437891000377284,10.29344487005582,left_cone,yellow
40.92749039628267,14.162916990563282,left_cone,yellow
40.2629813697772,11.817193672735105,left_cone,yellow
39.93128900057296,13.272729202862324,left_cone,yellow
39.450814785340754,14.672447110893156,left_cone,yellow
38.83405711691785,16.024699814970504,left_cone,yellow
38.09472059363759,17.334445203013807,left_cone,yellow
37.24491906791392,18.60914826364061,left_cone,yellow
36.26914554840494,19.89621631427255,left_cone,yellow
35.18849034151122,21.256774427308493,left_cone,yellow
34.06748233083246,22.751090493132025,left_cone,yellow
32.987599668410965,24.438211959359943,left_cone,yellow
32.053069994986046,26.33313626123885,left_cone,yellow
31.35760992132613,28.300396744757318,left_cone,yellow
30.824496399140738,30.20297602953289,left_cone,yellow
30.36880014729623,31.877117418904277,left_cone,yellow
29.983462492542113,33.09965618464596,left_cone,yellow
29.872826515100495,33.65593688381955,left_cone,yellow
30.13299275577738,33.900885339145354,left_cone,yellow
29.676427259992696,34.095539287794914,left_cone,yellow
28.47271658744481,33.88973554379339,left_cone,yellow
26.82870327572354,33.35467112774152,left_cone,yellow
24.883393249696887,32.68599381371624,left_cone,yellow
22.66468193983249,32.11783696755401,left_cone,yellow
20.218847992865175,31.981511298404428,left_cone,yellow
18.03245177403006,32.46844008756659,left_cone,yellow
16.244131315918906,33.303437808350715,left_cone,yellow
14.739867502579333,34.22849564994937,left_cone,yellow
13.449829330352358,35.064457849520785,left_cone,yellow
12.362635229339546,35.69054752251116,left_cone,yellow
11.327289942614694,36.08516710249947,left_cone,yellow
10.106077715843231,36.20976346487779,left_cone,yellow
8.764953701160415,36.0498053121746,left_cone,yellow
7.415538054794195,35.63064020940766,left_cone,yellow
6.167286758542565,35.00529793425606,left_cone,yellow
5.110599870260357,34.2424610205712,left_cone,yellow
4.252796917668343,33.337212532477366,left_cone,yellow
3.5516489451040516,32.245168923328535,left_cone,yellow
2.9769254402068825,30.95809965937746,left_cone,yellow
2.5012073142039384,29.493442524137993,left_cone,yellow
2.087655803347546,27.880654805936793,left_cone,yellow
1.6883455067828055,26.15114851194331,left_cone,yellow
1.2452852320542909,24.334709733950042,left_cone,yellow
0.6909724500466883,22.46106742146519,left_cone,yellow
-0.05034815603584253,20.56614700766304,left_cone,yellow
-1.0500704172984747,18.710105499484705,left_cone,yellow
-2.2641697043857922,17.060172665505963,left_cone,yellow
-3.534997161788466,15.658655011114211,left_cone,yellow
-4.700569359971246,14.455598840834597,left_cone,yellow
-5.605815624599304,13.467250435009163,left_cone,yellow
-6.162447573560298,12.789125759576889,left_cone,yellow
-6.480595416272283,12.32681596679749,left_cone,yellow
-6.53777360862801,11.57383029123963,left_cone,yellow
