x,y,type,color
-2.372235405956649,0.7889861714413586,left_cone,orange
-1.2605188356163595,4.131267815819775,left_cone,blue
-0.17266711219371622,7.500275489471319,left_cone,blue
0.9147422625779882,10.886058305913556,left_cone,blue
2.022469480645257,14.279257579134452,left_cone,blue
3.0248220891406277,16.837561652058017,left_cone,blue
3.1633559779453373,17.658218587492183,left_cone,blue
4.31479692717444,20.970676151613375,left_cone,blue
5.393693586790354,24.22271869238568,left_cone,blue
6.295311532654687,27.410705834848645,left_cone,blue
6.889318571448291,30.473388194549262,left_cone,blue
7.031320972964666,33.26455433710022,left_cone,blue
6.4603243215251815,35.794674970474844,left_cone,blue
4.665486538890312,38.14277518334099,left_cone,blue
2.066585763032621,40.19060977099868,left_cone,blue
-0.8920502668170713,42.09168010292722,left_cone,blue
-4.003014190592688,44.047070477142086,left_cone,blue
-7.129082775653835,46.26343182437887,left_cone,blue
-10.040705187014005,48.89976288975234,left_cone,blue
-12.440459177928592,51.84449347466956,left_cone,blue
-14.441752983950106,54.87427143397479,left_cone,blue
-16.237614406306044,57.81295248623023,left_cone,blue
-17.990487513915294,60.4799796357029,left_cone,blue
-19.836119621307304,62.67751802872956,left_cone,blue
-22.18630871300371,64.29288349315812,left_cone,blue
-25.135117797304467,65.2275022691686,left_cone,blue
-28.392093129085275,65.62003832908073,left_cone,blue
-31.796637599748397,65.6620717526795,left_cone,blue
-35.29125950993896,65.50784612831502,left_cone,blue
-38.85322543881921,65.28459121002977,left_cone,blue
-42.44701480811609,65.09548405271343,left_cone,blue
-46.06707594475395,64.9847767475592,left_cone,blue
-49.70940230032719,64.98726402223167,left_cone,blue
-53.36431536512171,65.1342237645047,left_cone,blue
-57.000917235677264,65.44655757840127,left_cone,blue
-60.54203101884787,65.90069851073967,left_cone,blue
-63.98208255720434,66.37921545864681,left_cone,blue
-67.32143306990193,66.75315203033249,left_cone,blue
-70.52575506428785,66.89111819680348,left_cone,blue
-73.52035656177688,66.65330065038741,left_cone,blue
-76.28746069897988,65.84321082709525,left_cone,blue
-78.85129981294058,64.22996444756419,left_cone,blue
-81.13624364051918,61.98946171834173,left_cone,blue
-83.15729581922179,59.355649321982035,left_cone,blue
-84.97455889376118,56.47988946616071,left_cone,blue
-86.65402182615931,53.44942133656886,left_cone,blue
-88.2503195307357,50.338783319957095,left_cone,blue
-89.78184117043534,47.20886859804632,left_cone,blue
-91.23148158780502,44.059174138262804,left_cone,blue
-92.57728689238957,40.88296037820337,left_cone,blue
-93.796964269336,37.67352645517159,left_cone,blue
-94.87115392889778,34.421525420012635,left_cone,blue
-95.79388380300705,31.10192189774721,left_cone,blue
-96.5910931027365,27.71894275898153,left_cone,blue
-97.30066803047248,24.286926029609084,left_cone,blue
-97.96062249697047,20.8175177515655,left_cone,blue
-98.6065159244247,17.326191178823077,left_cone,blue
-99.25434155835343,13.874484148092597,left_cone,blue
-99.84681720442848,10.48852313257005,left_cone,blue
-100.28799540832993,7.169693078682001,left_cone,blue
-100.47391595774646,3.945013327306598,left_cone,blue
-100.28989295803413,0.8730868393900988,left_cone,blue
-99.58270436496709,-2.023735142126942,left_cone,blue
-98.16382941734538,-4.796026173289242,left_cone,blue
-96.17500810799993,-7.407348120538112,left_cone,blue
-93.82800927657391,-9.88736650806494,left_cone,blue
-91.27765388918375,-12.313480163386252,left_cone,blue
-88.63562191366262,-14.77990077960708,left_cone,blue
-86.0483667414037,-17.335785616309412,left_cone,blue
-83.59844018154097,-19.94065096347319,left_cone,blue
-81.22957627908308,-22.52462660059947,left_cone,blue
-78.87433942647823,-25.018485576801677,left_cone,blue
-76.46695731682273,-27.352091775173452,left_cone,blue
-73.93733221436973,-29.461320490570643,left_cone,blue
-71.21195772824662,-31.306549277401952,left_cone,blue
-68.30985318162354,-32.87039915026371,left_cone,blue
-65.26869967229844,-34.140661503611035,left_cone,blue
